game_id,round_id,team1_score,team2_score,team1_round_score,team2_round_score,seat_position,is_dealer,partner_is_dealer,trump_suit,hand,known_cards,card_to_evaluate,card_to_play,win_probability
43,1,2,7,0,0,0,False,False,hearts,"['Q of spades', 'A of diamonds', '10 of hearts', '9 of hearts', '10 of diamonds']",['9 of spades'],10 of diamonds,0,0.0
43,2,0,0,0,1,3,False,False,hearts,"['Q of spades', '10 of hearts', '9 of hearts', '10 of diamonds']","['9 of spades', 'A of diamonds', 'K of hearts', 'Q of diamonds', '9 of clubs']",Q of spades,0,0.0
43,2,0,0,0,1,3,False,False,hearts,"['Q of spades', '10 of hearts', '9 of hearts', '10 of diamonds']","['9 of spades', 'A of diamonds', 'K of hearts', 'Q of diamonds', '9 of clubs']",10 of hearts,0,0.0
43,2,0,0,0,1,3,False,False,hearts,"['Q of spades', '10 of hearts', '9 of hearts', '10 of diamonds']","['9 of spades', 'A of diamonds', 'K of hearts', 'Q of diamonds', '9 of clubs']",9 of hearts,1,0.0
43,2,0,0,0,1,3,False,False,hearts,"['Q of spades', '10 of hearts', '9 of hearts', '10 of diamonds']","['9 of spades', 'A of diamonds', 'K of hearts', 'Q of diamonds', '9 of clubs']",10 of diamonds,0,0.0
43,3,0,0,0,2,3,False,False,hearts,"['Q of spades', '10 of hearts', '10 of diamonds']","['9 of spades', 'A of diamonds', 'K of hearts', 'Q of diamonds', '9 of clubs', 'J of hearts', '9 of diamonds', 'Q of hearts', '9 of hearts']",Q of spades,0,0.0
43,3,0,0,0,2,3,False,False,hearts,"['Q of spades', '10 of hearts', '10 of diamonds']","['9 of spades', 'A of diamonds', 'K of hearts', 'Q of diamonds', '9 of clubs', 'J of hearts', '9 of diamonds', 'Q of hearts', '9 of hearts']",10 of hearts,1,0.0
43,3,0,0,0,2,3,False,False,hearts,"['Q of spades', '10 of hearts', '10 of diamonds']","['9 of spades', 'A of diamonds', 'K of hearts', 'Q of diamonds', '9 of clubs', 'J of hearts', '9 of diamonds', 'Q of hearts', '9 of hearts']",10 of diamonds,0,0.0
43,4,0,1,0,3,3,False,False,hearts,"['Q of spades', '10 of diamonds']","['9 of spades', 'A of diamonds', 'K of hearts', 'Q of diamonds', '9 of clubs', 'J of hearts', '9 of diamonds', 'Q of hearts', '9 of hearts', 'J of diamonds', 'J of clubs', '10 of clubs', '10 of hearts']",Q of spades,0,0.0
43,4,0,1,0,3,3,False,False,hearts,"['Q of spades', '10 of diamonds']","['9 of spades', 'A of diamonds', 'K of hearts', 'Q of diamonds', '9 of clubs', 'J of hearts', '9 of diamonds', 'Q of hearts', '9 of hearts', 'J of diamonds', 'J of clubs', '10 of clubs', '10 of hearts']",10 of diamonds,1,0.0
43,5,0,1,0,4,3,False,False,hearts,['Q of spades'],"['9 of spades', 'A of diamonds', 'K of hearts', 'Q of diamonds', '9 of clubs', 'J of hearts', '9 of diamonds', 'Q of hearts', '9 of hearts', 'J of diamonds', 'J of clubs', '10 of clubs', '10 of hearts', 'A of hearts', 'K of clubs', 'Q of clubs', '10 of diamonds']",Q of spades,1,0.0
43,1,2,9,0,0,3,True,True,diamonds,"['K of diamonds', '9 of spades', 'J of hearts', '9 of diamonds', 'J of clubs']",['A of hearts'],K of diamonds,0,1.0
43,1,2,9,0,0,3,True,True,diamonds,"['K of diamonds', '9 of spades', 'J of hearts', '9 of diamonds', 'J of clubs']",['A of hearts'],9 of spades,0,1.0
43,1,2,9,0,0,3,True,True,diamonds,"['K of diamonds', '9 of spades', 'J of hearts', '9 of diamonds', 'J of clubs']",['A of hearts'],J of hearts,0,1.0
43,1,2,9,0,0,3,True,True,diamonds,"['K of diamonds', '9 of spades', 'J of hearts', '9 of diamonds', 'J of clubs']",['A of hearts'],9 of diamonds,1,1.0
43,1,2,9,0,0,3,True,True,diamonds,"['K of diamonds', '9 of spades', 'J of hearts', '9 of diamonds', 'J of clubs']",['A of hearts'],J of clubs,0,1.0
43,2,0,0,1,0,0,True,True,diamonds,"['K of diamonds', '9 of spades', 'J of hearts', 'J of clubs']","['A of hearts', '9 of hearts', '9 of clubs', 'K of hearts', '9 of diamonds']",K of diamonds,1,0.0
43,2,0,0,1,0,0,True,True,diamonds,"['K of diamonds', '9 of spades', 'J of hearts', 'J of clubs']","['A of hearts', '9 of hearts', '9 of clubs', 'K of hearts', '9 of diamonds']",9 of spades,0,0.0
43,2,0,0,1,0,0,True,True,diamonds,"['K of diamonds', '9 of spades', 'J of hearts', 'J of clubs']","['A of hearts', '9 of hearts', '9 of clubs', 'K of hearts', '9 of diamonds']",J of hearts,0,0.0
43,2,0,0,1,0,0,True,True,diamonds,"['K of diamonds', '9 of spades', 'J of hearts', 'J of clubs']","['A of hearts', '9 of hearts', '9 of clubs', 'K of hearts', '9 of diamonds']",J of clubs,0,0.0
43,3,0,0,2,0,0,True,True,diamonds,"['9 of spades', 'J of hearts', 'J of clubs']","['A of hearts', '9 of hearts', '9 of clubs', 'K of hearts', '9 of diamonds', 'K of diamonds', 'Q of diamonds', '10 of clubs', '10 of diamonds']",9 of spades,0,0.0
43,3,0,0,2,0,0,True,True,diamonds,"['9 of spades', 'J of hearts', 'J of clubs']","['A of hearts', '9 of hearts', '9 of clubs', 'K of hearts', '9 of diamonds', 'K of diamonds', 'Q of diamonds', '10 of clubs', '10 of diamonds']",J of hearts,1,0.0
43,3,0,0,2,0,0,True,True,diamonds,"['9 of spades', 'J of hearts', 'J of clubs']","['A of hearts', '9 of hearts', '9 of clubs', 'K of hearts', '9 of diamonds', 'K of diamonds', 'Q of diamonds', '10 of clubs', '10 of diamonds']",J of clubs,0,0.0
43,4,1,0,3,0,0,True,True,diamonds,"['9 of spades', 'J of clubs']","['A of hearts', '9 of hearts', '9 of clubs', 'K of hearts', '9 of diamonds', 'K of diamonds', 'Q of diamonds', '10 of clubs', '10 of diamonds', 'J of hearts', '10 of hearts', '10 of spades', 'K of spades']",9 of spades,1,0.0
43,4,1,0,3,0,0,True,True,diamonds,"['9 of spades', 'J of clubs']","['A of hearts', '9 of hearts', '9 of clubs', 'K of hearts', '9 of diamonds', 'K of diamonds', 'Q of diamonds', '10 of clubs', '10 of diamonds', 'J of hearts', '10 of hearts', '10 of spades', 'K of spades']",J of clubs,0,0.0
